,0,1
100,11.375,3.9
200,21.571428571428573,2.5
300,26.5,2.1
400,23.5,3.0
500,27.6,2.7
600,19.0,2.4
700,30.6,1.9
800,33.5,1.8
900,23.5,2.4
1000,32.0,1.7
1100,34.333333333333336,2.9
1200,36.0,1.9
1300,27.0,2.3
1400,34.0,3.2
1500,28.0,1.6
1600,22.5,2.9
1700,17.0,2.0
1800,25.0,2.3
1900,27.333333333333332,2.1
2000,36.0,2.4
