,0
100,1.25
150,1.4
200,1.35
250,1.35
300,1.2
350,1.5
400,1.7
450,1.55
500,1.2
550,1.3
600,1.6
650,1.6
700,1.55
750,1.3
800,1.6
850,1.7
900,1.75
950,1.8
1000,1.45
1050,1.95
1100,1.75
1150,2.0
1200,1.65
1250,1.9
1300,2.05
1350,1.95
1400,1.75
1450,2.0
1500,2.05
1550,1.85
1600,2.15
1650,1.7
1700,1.7
1750,2.05
1800,1.5
1850,1.7
1900,1.95
1950,1.85
2000,2.45
